,,,,,,,
,,,,,,,
chave_sus_ibge,UF,COD. MUNIC,NOME DO MUNICÍPIO,População Censo 2022,POP_COBERTA_SUS,pop_coberta_DATASUS,taxa de cobertura
PASÃOFÉLIXDOXINGU,PA,07300,São Félix do Xingu, 65 418,"135,732","135732,00",1
PASÃOFRANCISCODOPARÁ,PA,07409,São Francisco do Pará, 14 894,"15,978","15978,00",1
PASÃOGERALDODOARAGUAIA,PA,07458,São Geraldo do Araguaia, 24 255,"24,566","24566,00",1
PASÃOJOÃODAPONTA,PA,07466,São João da Ponta, 4 430,"6,294","6294,00",1
PASÃOJOÃODEPIRABAS,PA,07474,São João de Pirabas, 20 689,"23,440","23440,00",1
PASÃOJOÃODOARAGUAIA,PA,07508,São João do Araguaia, 13 664,"14,105","14105,00",1
PASÃOMIGUELDOGUAMÁ,PA,07607,São Miguel do Guamá, 52 894,"60,268","60268,00",1
PASÃOSEBASTIÃODABOAVISTA,PA,07706,São Sebastião da Boa Vista, 25 643,"27,302","27302,00",1
PASAPUCAIA,PA,07755,Sapucaia, 5 847,"6,088","6088,00",1
PASENADORJOSÉPORFÍRIO,PA,07805,Senador José Porfírio, 22 576,"11,305","11305,00","0,500753012048193"
PASOURE,PA,07904,Soure, 24 204,"25,752","25752,00",1
PATAILÂNDIA,PA,07953,Tailândia, 72 493,"53,475","53475,00","0,737657428993144"
PATERRAALTA,PA,07961,Terra Alta, 10 400,"11,971","11971,00",1
PATERRASANTA,PA,07979,Terra Santa, 18 782,"19,063","19063,00",1
PATOMÉAÇU,PA,08001,Tomé-Açu, 67 585,"58,650","58650,00","0,86779610860398"
PATRACUATEUA,PA,08035,Tracuateua, 28 595,"31,549","31549,00",1
PATRAIRÃO,PA,08050,Trairão, 15 242,"19,344","19344,00",1
PATUCUMÃ,PA,08084,Tucumã, 39 550,"40,661","40661,00",1
PATUCURUÍ,PA,08100,Tucuruí, 91 306,"73,025","73025,00","0,799783146781154"
PAULIANÓPOLIS,PA,08126,Ulianópolis, 37 972,"50,600","50600,00",1
PAURUARÁ,PA,08159,Uruará, 43 558,"45,395","45395,00",1
PAVIGIA,PA,08209,Vigia, 50 832,"54,650","54650,00",1
PAVISEU,PA,08308,Viseu, 58 692,"62,093","62093,00",1
PAVITÓRIADOXINGU,PA,08357,Vitória do Xingu, 15 607,"15,421","15421,00","0,988082270775934"
PAXINGUARA,PA,08407,Xinguara, 52 893,"45,416","45416,00","0,858639139394627"
